LAYER_NUMBER,MEAN (E7),MEAN (E8),MEAN (E14),MEAN (E15),MEAN (13),MEAN (16)
1,3489.04,3391.55,3533.72,3483.47,3538.6,3712.31
2,3569.65,3757.2,1934.74,1890.33,1985.24,1950.24
3,1863.36,2136.26,2084.86,2060.3,2206.32,1922.88
4,2216.91,2300.59,2165.93,2163.95,2297.28,2056.5
5,2271.97,2319.31,2120.47,2135.25,2269.33,1961.95
6,2297.66,2299.9,2065.39,2123.45,2288.73,2009.19
7,2419.31,2442.06,2191.01,2237.92,2389.04,2096.17
8,2303.02,2336.21,2069.09,2131.33,2314.84,1979.01
9,2340.36,2375.91,2104.38,2169.85,2323.77,2014.76
10,2373.32,2412.1,2165.08,2255.02,2387.35,2073.86
11,2331.37,2369.79,2087.49,2171.96,2322.44,1960.91
12,2418.69,2453.93,2214.87,2303.01,2438.62,2135.34
13,2397.84,2414.88,2172.2,2243.1,2394.29,2020.8
14,2318.15,2345.28,2117.95,2194.28,2347.18,2026.77
15,2460.19,2452.97,2259.47,2316.36,2440.66,2136.87
16,2347.76,2395.3,2164.47,2233.41,2373.09,2037.02
17,2445.04,2453.39,2222.09,2303.72,2451.04,2100.34
18,2455.56,2476.97,2272.56,2327.79,2476.13,2142.56
19,2355.24,2396.89,2152.71,2199.25,2348.99,2000.08
20,2435.15,2445.34,2258.74,2317.75,2454.15,2151.82
21,2431.99,2424.49,2248.26,2291.17,2419.89,2076.8
22,2379.15,2401.51,2181.27,2249.69,2403.19,2067.18
23,2542.67,2538.56,2329.91,2365.7,2531.74,2207.72
24,2392.1,2412.81,2206.39,2254.43,2411.4,2048.86
25,2434.15,2428.81,2212.55,2260.51,2406,2072.2
26,2475.36,2483.72,2307.19,2352.51,2500.09,2138.41
27,2398.64,2407.85,2210.2,2247.69,2397.95,2033.85
28,2465.14,2501,2306.06,2342.38,2504.59,2164.81
29,2478.69,2466.72,2266.09,2303.59,2461.28,2082.93
30,2354.65,2376.4,2170.9,2237.13,2395.44,2025.5
31,2502.02,2491.62,2330.02,2362.57,2498.06,2150.38
32,2407.35,2416.93,2227.85,2289.55,2433.39,2049.92
33,2469.8,2482.01,2260.21,2322.37,2471.22,2123.58
34,2508.87,2518.99,2329.51,2379.63,2529.4,2165.84
35,2396.96,2413.22,2183.05,2238.71,2388.16,2015.66
36,2446.2,2457.09,2266.85,2332.79,2471.26,2128.48
37,2446.23,2457.9,2283.87,2334.25,2461.3,2078.51
38,2389.45,2395.47,2191.26,2275.41,2426.34,2049.58
39,2518.32,2531.46,2326.83,2391.51,2525.07,2204.73
40,2419.62,2414.66,2215.55,2291.94,2442.7,2050.78
41,2402.23,2397.45,2187.45,2248.92,2390.8,2000.15
42,2486.16,2490.05,2313,2366.4,2496.92,2135.07
43,2403.94,2407.73,2199.37,2258.53,2395.72,2023.68
44,2464.1,2483.45,2274.25,2338.68,2488.51,2153.89
45,2477.9,2483.09,2280.59,2346.81,2494.23,2109.98
46,2360.55,2374.91,2172.2,2238.27,2382.7,2007.72
47,2489.38,2477.07,2296.71,2355.78,2485.51,2132.15
48,2415.44,2428.42,2244.7,2302.76,2434.7,2049.54
49,2448.43,2455.64,2227.25,2318.98,2449.15,2089.63
50,2527.52,2522.66,2341.35,2413.17,2549.56,2176.22
51,2403.91,2412.34,2187.93,2274.61,2412.56,2023.68
52,2443.01,2441.52,2238.94,2318.77,2464.48,2113.7
53,2466.23,2464.77,2303.61,2371.07,2478.41,2099
54,2404.44,2411.31,2193.46,2283.38,2441.9,2046.86
55,2575.3,2546.03,2336.81,2401.66,2561.05,2210.69
56,2451.82,2461.47,2261.82,2339.36,2487.28,2081.31
57,2422.19,2416.95,2191.9,2272.43,2420.51,4050.92
58,2533.25,2520.72,2341.19,2416.1,2545.97,2160.12
59,2441.49,2442.2,2234.37,2315.62,2442.56,2028.57
60,2494.74,2502.2,2284.62,2376.68,2539.09,2142.15
