Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
1,-7.7,,,P_H_EPV_1,Open,
2,-7.6,0.1,100,P_H_EPV_2,Open,
3,-7.1,0.5,500,G_EV_Inj_7,Open,
4,-7.1,0,0,G_EV_Inj_8,Open,
5,-7.1,0,0,G_EV_Inj_9,Open,
6,-7.1,0,0,G_EV_Inj_10,Open,
7,-7.1,0,0,G_EV_Inj_11,Open,
8,-7.1,0,0,G_EV_Inj_12,Open,
9,-7.1,0,0,G_EV_Inj_13,Open,
10,-7.1,0,0,G_EV_Inj_14,Open,
11,-7.1,0,0,G_EV_Inj_15,Open,
12,-7.1,0,0,G_EV_Inj_16,Open,
13,-7.1,0,0,G_EV_Inj_17,Open,
14,-7.1,0,0,G_EV_Inj_18,Open,
15,-7.1,0,0,G_EV_Inj_19,Open,
16,-7.1,0,0,M_EV_Inj_7,Open,
17,-7.1,0,0,M_EV_Inj_8,Open,
18,-7.1,0,0,M_EV_Inj_9,Open,
19,-7.1,0,0,M_EV_Inj_10,Open,
20,-7.1,0,0,M_EV_Inj_11,Open,
21,-7.1,0,0,M_EV_Inj_12,Open,
22,-7.1,0,0,M_EV_Inj_13,Open,
23,-7.1,0,0,M_EV_Inj_14,Open,
24,-7.1,0,0,M_EV_Inj_15,Open,
25,-7.1,0,0,M_EV_Inj_16,Open,
26,-7.1,0,0,M_EV_Inj_17,Open,
27,-7.1,0,0,M_EV_Inj_18,Open,
28,-7.1,0,0,M_EV_Inj_19,Open,
29,-4.1,3,3000,P_H_EPV_1,Close,
30,-4,0.1,100,P_H_EPV_2,Close,
,-3.5,0.5,500,G_EV_Inj_1,Close,
,-3.5,0,0,G_EV_inj_2,Close,
,-3.5,0,0,G_EV_inj_3,Close,
,-3.5,0,0,G_EV_inj_4,Close,
,-3.5,0,0,G_EV_inj_5,Close,
,-3.5,0,0,G_EV_inj_6,Close,
31,-3.5,0,0,G_EV_Inj_7,Close,
32,-3.5,0,0,G_EV_Inj_8,Close,
33,-3.5,0,0,G_EV_Inj_9,Close,
34,-3.5,0,0,G_EV_Inj_10,Close,
35,-3.5,0,0,G_EV_Inj_11,Close,
36,-3.5,0,0,G_EV_Inj_12,Close,
37,-3.5,0,0,G_EV_Inj_13,Close,
38,-3.5,0,0,G_EV_Inj_14,Close,
39,-3.5,0,0,G_EV_Inj_15,Close,
40,-3.5,0,0,G_EV_Inj_16,Close,
41,-3.5,0,0,G_EV_Inj_17,Close,
42,-3.5,0,0,G_EV_Inj_18,Close,
43,-3.5,0,0,G_EV_Inj_19,Close,
,-3.1,0.4,400,M_EV_Inj_1,Close,
,-3.1,0,0,M_EV_inj_2,Close,
,-3.1,0,0,M_EV_Inj_3,Close,
,-3.1,0,0,M_EV_inj_4,Close,
,-3.1,0,0,M_EV_Inj_5,Close,
,-3.1,0,0,M_EV_Inj_6,Close,
44,-3.1,0,0,M_EV_Inj_7,Close,
45,-3.1,0,0,M_EV_Inj_8,Close,
46,-3.1,0,0,M_EV_Inj_9,Close,
47,-3.1,0,0,M_EV_Inj_10,Close,
48,-3.1,0,0,M_EV_Inj_11,Close,
49,-3.1,0,0,M_EV_Inj_12,Close,
50,-3.1,0,0,M_EV_Inj_13,Close,
51,-3.1,0,0,M_EV_Inj_14,Close,
52,-3.1,0,0,M_EV_Inj_15,Close,
53,-3.1,0,0,M_EV_Inj_16,Close,
54,-3.1,0,0,M_EV_Inj_17,Close,
55,-3.1,0,0,M_EV_Inj_18,Close,
56,-3.1,0,0,M_EV_Inj_19,Close,Manifold confirmatio to zero bar.
57,-2.1,1,1000,R_G_EV_1,Open,
58,-2.1,0,0,R_M_EV_1,Open,
59,-1.1,1,1000,SP_7,Open,
60,-1.1,0,0,SP_8,Open,
61,-1.1,0,0,SP_9,Open,
62,-1.1,0,0,SP_10,Open,
63,-1.1,0,0,SP_11,Open,
64,-1.1,0,0,SP_12,Open,
65,-1.1,0,0,SP_13,Open,
66,-1.1,0,0,SP_14,Open,
67,-1.1,0,0,SP_15,Open,
68,-1.1,0,0,SP_16,Open,
69,-1.1,0,0,SP_17,Open,
70,-1.1,0,0,SP_18,Open,
71,-1.1,0,0,SP_19,Open,
,-0.4,0.7,700,G_EV_Inj_1,Open,
,-0.4,0,0,G_EV_inj_2,Open,
,-0.4,0,0,G_EV_inj_3,Open,
,-0.4,0,0,G_EV_inj_4,Open,
,-0.4,0,0,G_EV_inj_5,Open,
72,-0.4,0,0,G_EV_inj_6,Open,
73,-0.4,0,0,G_EV_Inj_7,Open,
74,-0.4,0,0,G_EV_Inj_8,Open,
75,-0.4,0,0,G_EV_Inj_9,Open,
76,-0.4,0,0,G_EV_Inj_10,Open,
77,-0.4,0,0,G_EV_Inj_11,Open,
78,-0.4,0,0,G_EV_Inj_12,Open,
79,-0.4,0,0,G_EV_Inj_13,Open,
80,-0.4,0,0,G_EV_Inj_14,Open,
81,-0.4,0,0,G_EV_Inj_15,Open,
82,-0.4,0,0,G_EV_Inj_16,Open,
83,-0.4,0,0,G_EV_Inj_17,Open,
84,-0.4,0,0,G_EV_Inj_18,Open,
85,-0.4,0,0,G_EV_Inj_19,Open,
86,0,0.4,400,M_EV_Inj_1,Open,
87,0,0,0,M_EV_inj_2,Open,
88,0,0,0,M_EV_Inj_3,Open,
89,0,0,0,M_EV_inj_4,Open,
90,0,0,0,M_EV_Inj_5,Open,
91,0,0,0,M_EV_Inj_6,Open,
92,0,0,0,M_EV_Inj_7,Open,
93,0,0,0,M_EV_Inj_8,Open,
94,0,0,0,M_EV_Inj_9,Open,
95,0,0,0,M_EV_Inj_10,Open,
96,0,0,0,M_EV_Inj_11,Open,
97,0,0,0,M_EV_Inj_12,Open,
98,0,0,0,M_EV_Inj_13,Open,
99,0,0,0,M_EV_Inj_14,Open,
100,0,0,0,M_EV_Inj_15,Open,
101,0,0,0,M_EV_Inj_16,Open,
102,0,0,0,M_EV_Inj_17,Open,
103,0,0,0,M_EV_Inj_18,Open,
104,0,0,0,M_EV_Inj_19,Open,
105,1,1,1000,I_PT(P)_7,0\7,FAB
106,1,0,0,I_PT(P)_8,0\7,FAB
107,1,0,0,I_PT(P)_9,0\7,FAB
108,1,0,0,I_PT(P)_10,0\7,FAB
109,1,0,0,I_PT(P)_11,0\7,FAB
