S.No,Name,Channel,Slot,Prescale min,Prescale max,Scale min,Scale max,Pre Scale Values,,,,,Scale Values,,,,,PreScaled Unit,Scaled Unit
,,,,,,,,X1,X2,X3,X4,X5,Y1,Y2,Y3,Y4,Y5,,
1,N_PT_151,ai0,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
2,N_PT_149,ai1,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
3,N_PT_170,ai2,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
4,N_PT_207,ai3,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
5,M_PT_184,ai4,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
6,N_PT_234,ai5,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
7,M_PT_89,ai6,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
8,M_PT_93,ai7,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
9,C_PT_3,ai8,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
10,N_PT_110,ai9,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
11,N_PT_107,ai10,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
12,N_PT_123,ai11,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
13,N_PT_199,ai12,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
14,N_PT_219,ai13,Slot3,0.004,0.02,0,100,0.004,0.008,0.012,0.016,0.02,0,25,50,75,100,mA,Barg
15,G_PT_69,ai27,Slot5,0.004,0.02,0,60,0.004,0.008,0.012,0.016,0.02,0,15,30,45,60,mA,Bara
16,N_PT_142,ai6,Slot5,0.004,0.02,0,400,0.004,0.008,0.012,0.016,0.02,0,100,200,300,400,mA,Barg
