Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
1,-10.9,0,,G_N_EPV_1,Open,
2,-10.5,0.4,400,M_N_EPV_1,Open,
3,-9.8,0.7,700,G_EV_Inj_1,Open,
4,-9.8,0,0,G_EV_Inj_2,Open,
5,-9.8,0,0,G_EV_Inj_3,Open,
6,-9.8,0,0,G_EV_Inj_4,Open,
7,-9.8,0,0,G_EV_Inj_5,Open,
8,-9.8,0,0,G_EV_Inj_6,Open,
9,-9.8,0,0,G_EV_Inj_7,Open,
10,-9.8,0,0,G_EV_Inj_8,Open,
11,-9.8,0,0,G_EV_Inj_9,Open,
12,-9.8,0,0,G_EV_Inj_10,Open,
13,-9.8,0,0,G_EV_Inj_11,Open,
14,-9.8,0,0,G_EV_Inj_12,Open,
15,-9.8,0,0,G_EV_Inj_13,Open,
16,-9.8,0,0,G_EV_Inj_14,Open,
17,-9.8,0,0,G_EV_Inj_15,Open,
18,-9.8,0,0,G_EV_Inj_16,Open,
19,-9.8,0,0,G_EV_Inj_17,Open,
20,-9.8,0,0,G_EV_Inj_18,Open,
21,-9.8,0,0,G_EV_Inj_19,Open,
22,-9.7,0.1,100,M_EV_Inj_1,Open,
23,-9.7,0,0,M_EV_Inj_2,Open,
24,-9.7,0,0,M_EV_Inj_3,Open,
25,-9.7,0,0,M_EV_Inj_4,Open,
26,-9.7,0,0,M_EV_Inj_5,Open,
27,-9.7,0,0,M_EV_Inj_6,Open,
28,-9.7,0,0,M_EV_Inj_7,Open,
29,-9.7,0,0,M_EV_Inj_8,Open,
30,-9.7,0,0,M_EV_Inj_9,Open,
31,-9.7,0,0,M_EV_Inj_10,Open,
32,-9.7,0,0,M_EV_Inj_11,Open,
33,-9.7,0,0,M_EV_Inj_12,Open,
34,-9.7,0,0,M_EV_Inj_13,Open,
35,-9.7,0,0,M_EV_Inj_14,Open,
36,-9.7,0,0,M_EV_Inj_15,Open,
37,-9.7,0,0,M_EV_Inj_16,Open,
38,-9.7,0,0,M_EV_Inj_17,Open,
39,-9.7,0,0,M_EV_Inj_18,Open,
40,-9.7,0,0,M_EV_Inj_19,Open,
41,-6.8,2.9,2900,G_N_EPV_1,Close,
42,-6.75,0.05,50,G_EPV_DRAIN,Open,
43,-6.35,0.4,400,M_N_EPV_1,Close,
44,-6.3,0.05,50,M_EPV_DRAIN,Open,
45,-4.8,1.5,1500,G_EV_Inj_1,Close,
46,-4.8,0,0,G_EV_Inj_2,Close,
47,-4.8,0,0,G_EV_Inj_3,Close,
48,-4.8,0,0,G_EV_Inj_4,Close,
49,-4.8,0,0,G_EV_Inj_5,Close,
50,-4.8,0,0,G_EV_Inj_6,Close,
51,-4.8,0,0,G_EV_Inj_7,Close,
52,-4.8,0,0,G_EV_Inj_8,Close,
53,-4.8,0,0,G_EV_Inj_9,Close,
54,-4.8,0,0,G_EV_Inj_10,Close,
55,-4.8,0,0,G_EV_Inj_11,Close,
56,-4.8,0,0,G_EV_Inj_12,Close,
57,-4.8,0,0,G_EV_Inj_13,Close,
58,-4.8,0,0,G_EV_Inj_14,Close,
